,cell_id,angle,perpendicularity,sphericity,columnarity
357,6187,72.23195544750861,0.6948357715599913,-0.09391364352088827,79.01552156222262
358,6193,132.35738374592154,1.6737529424987896,-0.049500449916440425,138.90913379110762
359,6215,74.28061098821732,0.7290737926212201,-0.10516787536214611,82.09254502645022
360,6245,76.4917888283985,0.7664152862833797,-0.16484632302963353,89.10117895871919
361,6292,68.15499883213788,0.6279030290813212,-0.1693112402573198,79.69440621414333
362,6295,54.3811227816697,0.41760916944888327,-0.058207512733511546,57.5465126784464
363,6301,53.85715427967056,0.4101995935047805,-0.22570696989489858,66.01308937929707
364,6303,104.84368143919657,1.2561827752151555,-0.3707701172106437,143.71658549520288
365,6325,98.53098841585614,1.1483442986026426,-0.5511855729078854,152.83984771503003
366,6331,83.34914158554702,0.8841811307621368,-0.2808686071735602,106.75929889179147
367,6334,103.84140652665921,1.2392352147654673,-0.1954735218631518,124.13965197564856
368,6350,140.7922988242964,1.7748595300943606,-0.11575863145398335,157.09022265545724
369,6358,55.72334632626298,0.4368106083229064,-0.2382075990748611,68.99707086705907
370,6397,127.20460135186522,1.6046630812267881,-0.264719663079942,160.8781605639493
371,6442,132.5594884525346,1.6763553358052516,-0.06863991490459753,141.65836045971355
372,6444,87.82903341163943,0.9621185509441442,-0.23179148927178694,108.18705586742486
373,6449,139.1825409528332,1.7567959115838399,-0.275227331935878,177.48938035133756
374,6451,48.15492635396622,0.3328812823694861,-0.5752395046332832,75.85554233547398
375,6460,94.23770667668045,1.0738945195207368,-0.27971616572706925,120.59751665519373
376,6461,77.6384447243511,0.7859200555447202,-0.04229670669922703,80.92229524944113
377,6464,53.27987983815068,0.4020933358815594,-0.16864685112335165,62.26536380108534
378,6477,105.88572403552422,1.2737195802411176,-0.18344822273052808,125.3102719223763
379,6487,103.03287064009837,1.2255100142739588,-0.11862588411315733,115.25523601249661
380,6505,124.84287512957125,1.571327883788879,-0.1556892913624437,144.27957389014423
381,6524,82.6692684392924,0.8724033903359611,-0.31728128853226734,108.89868045173098
382,6593,45.76482016754826,0.30239484267522143,-0.3685141298530523,62.62980304947372
383,6595,118.95450864223474,1.4841150422238079,-0.4400278390833199,171.2978040292954
384,6596,94.36936458506827,1.0761859041878097,-0.0730050347392599,101.25880332492306
385,6600,101.3905283344933,1.1974952873369613,-0.14039122128082115,115.62486843368052
386,6605,69.61701689613959,0.651706341610442,-0.1874011111716205,82.66332321892963
387,6615,57.62871243195063,0.46459638735981146,-0.1679298063651169,67.3062909517191
388,6616,131.89364307456,1.6677499705312144,-0.26745772657462985,167.1696170009275
389,6625,134.49826505672672,1.7008876664179415,-0.26627586841530326,170.31190738505828
390,6626,88.81907989642897,0.9793905152513646,-0.3544687672431559,120.30266965498753
391,6635,74.83756978940738,0.7384436549415454,-0.1837898921498875,88.59195866976225
392,6664,79.03218195027705,0.8097423960234222,-0.172793129334325,92.68839998758517
393,6665,98.20717435510056,1.1427528685245756,-0.09889432531352904,107.91930660389635
394,6669,28.06044492028761,0.11754817345561475,-0.2695695006792931,35.62468504628834
395,6675,35.5315128260076,0.18620399288200162,-0.3424859920639296,47.70055824575505
396,6681,79.90164625955259,0.8246615613652338,-0.19735850546687206,95.67091574968057
397,6733,118.81150128387111,1.4819295700540478,-0.2961994743711607,154.0034055134022
398,6751,136.31077079275016,1.7230970092148201,-0.2739947787019632,173.65921027080378
399,6759,58.277820647485804,0.4741990370056287,-0.1822399027130328,68.8983650126112
