cell,sphericities,lines,volumes
261,0.678994898881289,0.0,2490
262,0.6453843335984005,0.0,5572
263,0.7288522379402455,0.0,3863
264,0.6566598030876418,0.0,2428
265,0.6650535079689417,0.0,5910
266,0.6728692369976809,4.0,2006
267,0.630754574483699,0.0,2263
268,0.6601066286955949,5.0,3608
269,0.7099374298074295,0.0,3658
270,0.6835714696930453,0.0,2287
271,0.69037534002418,0.0,1258
272,0.6452921537084083,0.0,1687
273,0.659856497951437,4.0,3718
274,0.620250900518084,0.0,3682
275,0.5530314178857413,0.0,14852
276,0.5524128239164058,0.0,432
277,0.48725485161823884,0.0,15156
278,0.6558652161461321,5.0,3387
279,0.6500618040796409,0.0,2920
280,0.7053177069789964,5.0,3123
281,0.627364332594814,0.0,5745
282,0.6759666201726772,0.0,3724
283,0.6000601503473117,0.0,1973
284,0.6297322749409494,5.0,12242
285,0.6492509686242532,5.0,7554
286,0.6373557279473117,0.0,4828
287,0.6686765080194931,4.0,4800
288,0.6439560074937742,0.0,3511
289,0.6463405520790468,0.0,6006
290,0.643501477179565,0.0,6547
291,0.5752351725375944,0.0,2416
292,0.6702769584409225,0.0,2101
293,0.6321207366574462,0.0,2105
294,0.6807427656061669,0.0,3845
295,0.6374599471176337,0.0,2025
296,0.6660737507633427,0.0,4017
297,0.6894038404956091,5.0,4328
298,0.7346039961311296,0.0,4726
299,0.6009187629101167,0.0,6910
300,0.6499632223503415,0.0,818
301,0.7384092620865811,4.0,2427
302,0.5906164061805625,4.0,8390
303,0.6062948483948049,0.0,2059
304,0.6439617959050471,4.0,4662
305,0.6158021753293544,5.0,7192
306,0.742662785202757,0.0,2921
307,0.6046089708122536,0.0,2590
308,0.7028892012275785,0.0,3825
309,0.6999542171257555,0.0,2543
310,0.6472484555540321,0.0,2183
311,0.5963803040847894,0.0,19724
312,0.6251077258035801,0.0,451
313,0.6521080698038997,0.0,4660
314,0.6647573802461674,0.0,5706
315,0.6702547679801885,0.0,1806
316,0.5577504911716947,0.0,662
317,0.6422093450022146,0.0,4632
318,0.6420994231119824,5.0,4949
319,0.6125859739273098,0.0,1642
320,0.6641587328437007,0.0,4908
321,0.6670632462251499,0.0,2072
322,0.6264954483277283,0.0,4183
323,0.6390529354392539,0.0,4999
324,0.692438119840891,4.0,4945
325,0.6966475416254693,0.0,2442
326,0.6901170188270994,0.0,2187
327,0.6592362959913125,0.0,2204
328,0.6090208140228457,0.0,3764
329,0.6867964535760395,0.0,2582
330,0.6625677528731698,0.0,3152
331,0.6976463704651732,0.0,4826
332,0.6428426948957108,0.0,1454
333,0.583052203554767,0.0,4624
334,0.6470476680598551,0.0,2329
335,0.7448750142618228,0.0,2667
336,0.6645761575211757,0.0,5019
337,0.6491908457913207,0.0,3093
338,0.7409935259975899,0.0,824
339,0.6854121495682893,0.0,2379
340,0.6138610936067341,4.0,4720
341,0.6804791596091049,0.0,2016
342,0.6500633632270985,0.0,4494
343,0.6071032545513535,4.0,5513
344,0.6558249360912923,0.0,5409
345,0.6574239103024206,0.0,6089
346,0.6141918431426291,0.0,469
347,0.6850794965452106,0.0,2125
348,0.6582845555600872,0.0,3582
349,0.6427447844193439,5.0,2862
350,0.7202269037264141,0.0,2256
351,0.7930507776940894,0.0,3333
352,0.5312164128271577,0.0,121
353,0.6746342621687936,4.0,1170
354,0.6263774152163779,0.0,3844
355,0.6813037737660811,5.0,938
356,0.6262861062399916,5.0,2619
357,0.6637563220541803,5.0,2338
358,0.706919583740957,0.0,6808
359,0.6291197156883175,4.0,2457
360,0.6405426665845747,0.0,2265
361,0.6343950680630851,5.0,3810
362,0.6806704030229811,0.0,3748
363,0.5999414340796201,0.0,4309
364,0.666233467228572,0.0,2658
365,0.6733189922934103,0.0,5951
366,0.7584261134944946,0.0,2089
367,0.6379388958439185,0.0,68
368,0.6445325793369534,0.0,12193
369,0.5832368195556709,0.0,8845
370,0.6197656567646216,0.0,4861
371,0.698102968019707,5.0,8436
372,0.5909678132768899,0.0,5364
373,0.6477065197134786,0.0,5702
374,0.6164596000326193,0.0,4182
375,0.7419555464532704,0.0,2367
376,0.6738851971790754,0.0,2796
377,0.6122978272957269,0.0,7700
378,0.7666538605685437,4.0,2533
379,0.6540707527051963,0.0,3271
380,0.6281260685833752,0.0,6559
381,0.6000509332958764,0.0,562
382,0.6519398906087002,5.0,2300
383,0.5967244322798217,0.0,1839
384,0.5605255899241249,0.0,2693
385,0.6558613672269925,0.0,5094
386,0.6506435198991565,5.0,3731
387,0.6469033900605711,5.0,4164
388,0.5984566894685444,0.0,4520
389,0.5816913163591879,0.0,5080
390,0.6164939776779739,5.0,2932
391,0.7556080034361762,0.0,2402
392,0.7473186782555851,5.0,5373
393,0.6229096668495718,0.0,1843
394,0.6413392278164809,5.0,2342
395,0.7144925784793521,4.0,4925
396,0.5739469333558389,0.0,5010
397,0.5934244153212783,5.0,6850
398,0.6657775120489138,0.0,3371
399,0.6170024550076634,0.0,3029
400,0.49898105836850726,5.0,10296
401,0.6497384288972232,0.0,3717
402,0.639378403279276,0.0,4963
403,0.6247385798329875,5.0,4661
404,0.737160626697733,0.0,5683
405,0.613712457825277,0.0,3754
406,0.7036644180347481,0.0,3577
407,0.6608437107873196,0.0,621
408,0.6339191165198517,0.0,3559
409,0.6749761372779843,0.0,3880
410,0.6068084062352833,0.0,2408
411,0.5869776091181328,0.0,2029
412,0.6832087753342526,4.0,2749
413,0.6313136849568682,0.0,2520
414,0.5478478866827633,0.0,5199
415,0.9097997628191443,0.0,448
416,0.6880796979815308,0.0,1401
417,0.6517746543498748,4.0,3621
418,0.6797933960622878,4.0,4679
419,0.6929022203297509,0.0,2118
420,0.539551701525412,0.0,12385
421,0.6564137075013295,0.0,4595
422,0.6254834173888116,4.0,10121
423,0.6513256689981043,4.0,4351
424,0.6455958470587724,0.0,5859
425,0.6591711340742877,0.0,2941
426,0.6710436794939818,0.0,3651
427,0.7367576961781314,5.0,1551
428,0.6791323578576139,5.0,2943
429,0.690058629565194,0.0,2114
430,0.7294863798069833,0.0,2502
431,0.5982224311851198,0.0,3490
432,0.7451057679850479,0.0,2749
433,0.6048387564676662,0.0,2622
434,0.6502684020587683,5.0,3616
435,0.6776738013073927,5.0,5770
436,0.6360497603285635,0.0,5265
437,0.6696011384718171,5.0,2764
438,0.7333557903584351,0.0,3285
439,0.7507164284947528,0.0,2515
